label,area,eccentricity,solidity,mean_intensity
1,84.0,0.7409170133851757,0.9333333333333333,56.23809523809524
2,167.0,0.4850180616154712,0.9766081871345029,74.88023952095809
3,288.0,0.6463595300330324,0.9829351535836177,69.84722222222223
4,176.0,0.3031930425022044,0.9565217391304348,56.27840909090909
5,332.0,0.5942529709539542,0.9405099150141643,78.96987951807229
6,213.0,0.7823823569999745,0.922077922077922,54.666666666666664
7,83.0,0.7772393646487415,0.9431818181818182,55.33734939759036
8,251.0,0.8140784549503685,0.9543726235741445,74.5378486055777
9,561.0,0.8811292018347275,0.8335809806835067,74.47771836007131
10,105.0,0.0,0.963302752293578,67.15238095238095
11,311.0,0.3420818156272413,0.9688473520249221,72.88102893890675
12,227.0,0.6441778368029845,0.961864406779661,73.83259911894272
13,339.0,0.6803916492567708,0.9549295774647887,79.57227138643069
14,164.0,0.5425938768091787,0.9647058823529412,77.3109756097561
15,66.0,0.7808229194433546,0.9565217391304348,54.31818181818182
16,261.0,0.5330624405184311,0.9321428571428572,52.31800766283525
17,69.0,0.6206423929490049,0.9078947368421053,50.14492753623188
18,329.0,0.367280367133473,0.9320113314447592,51.54103343465046
19,322.0,0.5266393313787793,0.9669669669669669,69.0807453416149
20,165.0,0.5374440690352873,0.9375,53.26060606060606
21,181.0,0.6219102706143388,0.9526315789473684,54.35911602209945
22,230.0,0.6959769902078544,0.9623430962343096,74.4
23,79.0,0.4578788789749316,0.9404761904761905,50.0253164556962
24,126.0,0.4325978124045192,0.9618320610687023,72.01587301587301
25,172.0,0.15644307319260314,0.9555555555555556,57.56395348837209
26,156.0,0.5666625712032526,0.968944099378882,61.16025641025641
27,137.0,0.5442008240728962,0.958041958041958,60.8978102189781
